"","group","bin","n.agg","n.dyads","n.actors","n.subjects","hours_obs","personhours","birds","ag_bird","ag_bird_obs","ag_person_obs","mean","sd","n","se"
"34","2022-2",8,1395,55,10,10,19.2,26.8833333333333,10,139.5,7.265625,5.18908865468072,9.01191807538703,3.4020842311082,26,0.6672036108195
"35","2022-2",9,1374,62,10,10,19.2166666666667,33.1,11,124.909090909091,6.50003942284948,3.77368854710244,9.01191807538703,3.4020842311082,26,0.6672036108195
"36","2022-2",10,1182,62,11,11,19.55,29.9833333333333,11,107.454545454545,5.49639618693327,3.58380918692203,9.01191807538703,3.4020842311082,26,0.6672036108195
"37","2022-2",11,1031,54,10,9,16.2666666666667,29.5166666666667,10,103.1,6.33811475409836,3.49294184076793,9.01191807538703,3.4020842311082,26,0.6672036108195
"38","2022-2",12,582,42,8,8,9.76666666666667,17.95,10,58.2,5.95904436860068,3.24233983286908,9.01191807538703,3.4020842311082,26,0.6672036108195
"39","2022-2",13,1709,59,11,10,14.45,25.75,11,155.363636363636,10.7518087448883,6.03353927625772,9.01191807538703,3.4020842311082,26,0.6672036108195
"40","2022-2",14,1294,61,11,11,17.0666666666667,24.95,11,117.636363636364,6.89275568181818,4.71488431408271,9.01191807538703,3.4020842311082,26,0.6672036108195
"41","2022-2",15,1714,56,10,10,19.2333333333333,35.1057971,10,171.4,8.91161178509532,4.88238451079067,9.01191807538703,3.4020842311082,26,0.6672036108195
"42","2022-2",16,1105,58,10,10,20.3666666666667,37.4166666666667,10,110.5,5.42553191489362,2.9532293986637,9.01191807538703,3.4020842311082,26,0.6672036108195
"43","2022-2",17,2066,64,11,11,19.6833333333333,35.7333333333333,11,187.818181818182,9.54199060888307,5.25610583446404,9.01191807538703,3.4020842311082,26,0.6672036108195
"44","2022-2",18,1676,67,11,11,19,33.5833333333333,11,152.363636363636,8.01913875598086,4.53688247236634,9.01191807538703,3.4020842311082,26,0.6672036108195
"45","2022-2",19,1025,52,10,9,16.7,30.3224637666667,10,102.5,6.1377245508982,3.38033217843854,9.01191807538703,3.4020842311082,26,0.6672036108195
"46","2022-2",20,1380,49,9,10,17.7166666666667,32.3557971,10,138,7.7892756349953,4.26507804995476,9.01191807538703,3.4020842311082,26,0.6672036108195
"47","2022-2",21,1600,68,11,11,19.9833333333333,35.3666666666667,11,145.454545454545,7.27879293350519,4.11275811841316,9.01191807538703,3.4020842311082,26,0.6672036108195
"48","2022-2",22,1665,69,11,10,20.3,37.3282608666667,11,151.363636363636,7.45633676668159,4.05493405932557,9.01191807538703,3.4020842311082,26,0.6672036108195
"49","2022-2",23,2254,54,10,9,16.2333333333333,30.2166666666667,10,225.4,13.8850102669405,7.45945945945946,9.01191807538703,3.4020842311082,26,0.6672036108195
"50","2022-2",24,2060,54,10,10,21.2833333333333,26.2166666666667,10,206,9.67893500391543,7.85759694850604,9.01191807538703,3.4020842311082,26,0.6672036108195
"51","2022-2",25,2985,71,11,11,18.9,30.9557971,11,271.363636363636,14.3578643578644,8.76616536434258,9.01191807538703,3.4020842311082,26,0.6672036108195
"52","2022-2",26,1731,65,11,11,13.25,24.4333333333333,11,157.363636363636,11.8765008576329,6.44053081979412,9.01191807538703,3.4020842311082,26,0.6672036108195
